website,city,country,name,state,postgraduate_num,rank,undergraduate_num
"7,909*(4)",美利坚大学 ,460,华盛顿,"5,291*(4)","哥伦比亚,特区",美国,www.american.edu
"22,920",纽约市立大学亨特学院 ,442,纽约市,"16,550*(1)",纽约州,美国,"中部各州学院及学校协会,（MSACS）"
"30,256",旧金山州立大学 ,432,旧金山,"26,906*(1)",加利福尼亚州,美国,西部院校协会（WASC）
"8,008*(4)",新泽西理工学院 ,424,纽华克,"3,317*(4)",新泽西州,美国,www.njit.edu
"12,905*(4)",堪培拉大学 ,425,"堪培拉,*(2)","3,524*(4)",首都特区*(2),澳大利亚*(2),www.canberra.edu.au
"8,435*(7)",克雷顿大学 ,422,奥马哈,"4,163*(7)",内布拉斯加州,美国,"中北部学院及学校协会,（NCACS）*(7)"
"16,387*(5)",迈阿密大学（俄亥俄） ,421,牛津,"2,520*(5)",俄亥俄州,美国,www.miamioh.edu
"6,841*(3)",密苏里科技大学 ,411,罗拉,"2,048*(3)",密苏里州,美国,www.mst.edu*(6)
"23,801",内华达大学拉斯维加斯分校 ,403,拉斯维加斯,"4,804",内华达州,美国,www.unlv.edu
"14,902*(3)",纽约市立学院 ,396,纽约市,"2,693*(3)",纽约州,美国,www.ccny.cuny.edu
"13,641*(1)",罗德岛大学 ,391,金斯敦,"2,972*(1)",罗德岛州,美国,www.uri.edu*(5)
"17,770*(5)",内华达大学雷诺分校 ,388,雷诺,"3,110*(5)",内华达州,美国,www.unr.edu
"5,721*(2)",密歇根理工大学 ,389,霍顿,"1,521*(2)",密歇根州,美国,www.mtu.edu*(4)
"13,491*(3)",纽约州立大学宾汉姆顿分校 ,395,宾汉姆顿,"3,422*(3)",纽约州,美国,www.binghamton.edu
"9,116*(3)",爱达荷大学 ,387,莫斯科,"2,256*(3)",爱达荷州,美国,www.uidaho.edu
"6,237*(2)",加州大学默塞德分校 ,383,默塞德,448*(2),加利福尼亚州,美国,www.ucmerced.edu
